PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Unnamed: 15
26,1970-01-06 21:13:17,0.6438717246055603,-0.3220959603786468,-0.4955800473690033,-0.4859406054019928,9.35484504699707,0.7612133026123047,3.1946804523468018,6.5200276374816895,3.4138853549957275,-2.1868765354156494,-0.36865234375,-0.81640625,-0.1181640625, 
27,1970-01-07 01:51:04,0.6442843675613403,-0.3216898441314697,-0.4951066374778747,-0.4861453473567962,9.212702751159668,0.7459691762924194,2.9094550609588623,2.483785629272461,4.490451335906982,-0.6816437244415283,-0.364501953125,-0.817138671875,-0.120361328125, 
28,1970-01-07 06:28:51,0.6443405747413635,-0.321631371974945,-0.4949114918708801,-0.4863083362579345,9.143836975097656,0.7210418581962585,3.307062864303589,1.2393280267715454,0.7915540337562561,-1.1167776584625244,-0.37255859375,-0.81591796875,-0.1181640625, 
29,1970-01-07 11:06:38,0.6445380449295044,-0.3215849995613098,-0.4944957196712494,-0.486500084400177,9.23111343383789,0.6600813865661621,2.994903326034546,0.6447036862373352,2.271033525466919,-0.2484687864780426,-0.370361328125,-0.818603515625,-0.12353515625, 
30,1970-01-07 15:44:25,0.6447158455848694,-0.3212492763996124,-0.4945322573184967,-0.4864492416381836,9.163447380065918,0.657519519329071,3.0863699913024902,4.239368915557861,0.6320509910583496,-1.2179734706878662,-0.371337890625,-0.81689453125,-0.121826171875, 
31,1970-01-07 20:22:12,0.6448785066604614,-0.3209228813648224,-0.4945020079612732,-0.4864799678325653,9.173909187316896,0.6627179384231567,3.0964317321777344,3.6587941646575928,1.025321364402771,-1.451266884803772,-0.370361328125,-0.814453125,-0.119873046875, 
32,1970-01-08 00:59:59,0.6449546813964844,-0.3207810223102569,-0.4946639537811279,-0.4863075613975525,9.18247127532959,0.6306782960891724,3.1412558555603027,3.977184534072876,-1.1864569187164309,-0.6393057703971863,-0.368896484375,-0.81396484375,-0.125, 
33,1970-01-08 05:37:46,0.6449602842330933,-0.3207337856292724,-0.4948462247848511,-0.4861459732055664,9.26666259765625,0.6501573324203491,3.1965701580047607,3.4523813724517822,-1.807219624519348,-0.6396260857582092,-0.368408203125,-0.8125,-0.1201171875, 
34,1970-01-08 10:15:33,0.6449606418609619,-0.3207768201828003,-0.4949914515018463,-0.4859690964221954,9.29151439666748,0.6842038035392761,3.0740325450897217,2.955827236175537,-1.9979184865951536,-0.2048888057470321,-0.369384765625,-0.82177734375,-0.12451171875, 
35,1970-01-08 14:53:20,0.6449483633041382,-0.3208326399326324,-0.4951624870300293,-0.485774278640747,9.296793937683104,0.7191556692123413,2.992438793182373,3.0327672958374023,-2.2366416454315186,-0.1760104745626449,-0.372314453125,-0.812255859375,-0.119140625, 
36,1970-01-08 19:31:07,0.6449185013771057,-0.320907711982727,-0.4952771067619324,-0.4856476187705993,9.281681060791016,0.694381833076477,2.924154996871948,2.470799446105957,-1.961356520652771,-0.3526740372180938,-0.37548828125,-0.818603515625,-0.12158203125, 
37,1970-01-09 00:08:54,0.6448631286621094,-0.3210029304027557,-0.4953947067260742,-0.4855379164218902,9.317479133605955,0.6425051689147949,2.919219493865967,2.2818803787231445,-2.0913281440734863,-0.4495925605297088,-0.3740234375,-0.815185546875,-0.12255859375, 
38,1970-01-09 04:46:41,0.6447559595108032,-0.3211557865142822,-0.4954610764980316,-0.4855116903781891,9.421074867248535,0.6536824107170105,2.947737693786621,1.4622353315353394,-2.047952890396118,-0.6817075610160828,-0.366455078125,-0.815673828125,-0.12109375, 
39,1970-01-09 09:24:28,0.6446769833564758,-0.3213122487068176,-0.495423674583435,-0.4855512976646423,9.40132999420166,0.675028920173645,2.987398624420166,0.9394419193267822,-1.3587923049926758,-0.6370647549629211,-0.369384765625,-0.815673828125,-0.1201171875, 
40,1970-01-09 14:02:15,0.6446215510368347,-0.3214132189750671,-0.4953092038631439,-0.4856748580932617,9.426542282104492,0.6651998162269592,2.8949100971221924,0.6901277899742126,-0.5668346285820007,-0.9508457779884338,-0.369873046875,-0.81689453125,-0.1162109375, 
41,1970-01-09 18:40:02,0.6446051001548767,-0.3213687837123871,-0.4952331185340881,-0.4858033359050751,9.41775131225586,0.6297457218170166,2.824066162109375,1.5150872468948364,-0.1087899357080459,-1.427318811416626,-0.365966796875,-0.815185546875,-0.116455078125, 
